technology_id,name,aliases,icon_slug
"cassandra","Cassandra","apache cassandra|cassandra","apachecassandra"
"scylladb","ScyllaDB","scylla|scylladb","scylladb"
"neo4j","Neo4j","neo4j","neo4j"
"redis","Redis","redis","redis"
"elasticsearch","Elasticsearch","elastic|elasticsearch","elasticsearch"
"opensearch","OpenSearch","opensearch","opensearch"
"apache-solr","Apache Solr","solr","apachesolr"
"minio","MinIO","minio","minio"
"apache-kafka","Apache Kafka","kafka","apachekafka"
"rabbitmq","RabbitMQ","rabbit|rabbitmq|amqp","rabbitmq"
"nats","NATS","nats.io|nats","natsdotio"
"apache-pulsar","Apache Pulsar","pulsar","apachepulsar"
"openapi","OpenAPI","swagger|openapi","swagger"
"graphql","GraphQL","graphql","graphql"
"apache-avro","Apache Avro","avro","apacheavro"
"keycloak","Keycloak","keycloak","keycloak"
"hashicorp-vault","HashiCorp Vault","vault|hashicorp vault","vault"
"docker","Docker","docker","docker"
"podman","Podman","podman","podman"
"kubernetes","Kubernetes","k8s|kube|kubernetes","kubernetes"
"openshift","OpenShift","ocp|openshift","redhatopenshift"
"helm","Helm","helm|helm chart","helm"
"terraform","Terraform","terraform|tf","terraform"
"opentofu","OpenTofu","tofu|opentofu","opentofu"
"ansible","Ansible","ansible","ansible"
"pulumi","Pulumi","pulumi","pulumi"
"packer","Packer","hashicorp packer|packer","packer"
"vagrant","Vagrant","vagrant","vagrant"
"git","Git","git","git"
"github-actions","GitHub Actions","github actions|gha","githubactions"
"jenkins","Jenkins","jenkins","jenkins"
"teamcity","TeamCity","teamcity","teamcity"
"flux","Flux","fluxcd|flux cd|flux","flux"
"sonarqube","SonarQube","sonar|sonarqube","sonar"
"snyk","Snyk","snyk","snyk"
"trivy","Trivy","trivy","trivy"
"dependabot","Dependabot","dependabot","dependabot"
"renovate","Renovate","renovatebot|renovate","renovate"
"prometheus","Prometheus","prometheus","prometheus"
"grafana","Grafana","grafana","grafana"
"opentelemetry","OpenTelemetry","otel|open telemetry|opentelemetry","opentelemetry"
"jaeger","Jaeger","jaeger","jaeger"
"fluent-bit","Fluent Bit","fluent-bit|fluentbit","fluentbit"
"fluentd","Fluentd","fluentd","fluentd"
"logstash","Logstash","logstash","logstash"
"kibana","Kibana","kibana","kibana"
"sentry","Sentry","sentry","sentry"
"datadog","Datadog","data dog|datadog","datadog"
"pytest","pytest","py.test|pytest","pytest"
"junit","JUnit","junit|junit5","junit5"
"jest","Jest","jestjs|jest","jest"
"vitest","Vitest","vitest","vitest"
"mocha","Mocha","mochajs|mocha","mocha"
"cypress","Cypress","cypress","cypress"
"selenium","Selenium","selenium webdriver|selenium","selenium"
"k6","k6","grafana k6|k6","k6"
"jmeter","JMeter","apache jmeter|jmeter","apachejmeter"
"gatling","Gatling","gatling","gatling"
"npm","npm","node package manager|npm","npm"
"yarn","Yarn","yarnpkg|yarn","yarn"
"pnpm","pnpm","pnpm","pnpm"
"bun","Bun","bun.sh|bun","bun"
"maven","Maven","apache maven|mvn","apachemaven"
"gradle","Gradle","gradle","gradle"
"nuget","NuGet","nuget","nuget"
"composer","Composer","php composer|composer","composer"
"poetry","Poetry","python poetry|poetry","poetry"
"uv","uv","astral uv|uv package manager","uv"
"cmake","CMake","cmake","cmake"
"make","Make","makefile|gnu make","make"
"vite","Vite","vitejs|vite","vite"
"webpack","Webpack","webpack","webpack"
"rollup","Rollup","rollupjs|rollup","rollupdotjs"
"esbuild","esbuild","esbuild","esbuild"
"nginx","NGINX","nginx","nginx"
"kong","Kong","kong gateway|kong","kong"
"envoy","Envoy","envoy proxy|envoy","envoyproxy"
"apache-spark","Apache Spark","spark|pyspark","apachespark"
"apache-flink","Apache Flink","flink","apacheflink"
"airflow","Airflow","apache airflow|airflow","apacheairflow"
"prefect","Prefect","prefect","prefect"
"pandas","Pandas","pandas","pandas"
"polars","Polars","polars","polars"
"numpy","NumPy","numpy","numpy"
"scipy","SciPy","scipy","scipy"
"scikit-learn","scikit-learn","sklearn|scikit learn","scikitlearn"
"pytorch","PyTorch","torch|pytorch","pytorch"
"tensorflow","TensorFlow","tensorflow|tf","tensorflow"
"keras","Keras","keras","keras"
"hugging-face-transformers","Hugging Face Transformers","transformers|huggingface|hugging face","huggingface"
"langchain","LangChain","langchain","langchain"
"onnx","ONNX","onnx","onnx"
"mlflow","MLflow","mlflow","mlflow"
"markdown","Markdown","md|markdown","markdown"
"sphinx","Sphinx","python sphinx|sphinx","sphinx"
"docusaurus","Docusaurus","docusaurus","docusaurus"
"mermaid","Mermaid","mermaid.js|mermaid","mermaid"
