technology_id,name,type,aliases,ecosystem,detectability,manifest_signals,code_signals,notes
storybook,Storybook,ui_tool,storybook,npm,high,.storybook/*|package.json,@storybook/,
fastapi,FastAPI,backend_framework,fastapi,PyPI,high,pyproject.toml|requirements.txt,from fastapi,
django,Django,backend_framework,django,PyPI,high,pyproject.toml|requirements.txt|manage.py,from django|import django,
flask,Flask,backend_framework,flask,PyPI,high,pyproject.toml|requirements.txt,from flask,
starlette,Starlette,backend_framework,starlette,PyPI,high,pyproject.toml|requirements.txt,from starlette,
pydantic,Pydantic,validation_library,pydantic,PyPI,high,pyproject.toml|requirements.txt,from pydantic,
sqlalchemy,SQLAlchemy,orm,sqlalchemy,PyPI,high,pyproject.toml|requirements.txt,from sqlalchemy,
alembic,Alembic,database_migration,alembic,PyPI,high,alembic.ini|alembic/*|pyproject.toml,from alembic,
celery,Celery,background_jobs,celery,PyPI,high,pyproject.toml|requirements.txt,from celery,
arq,ARQ,background_jobs,arq,PyPI,high,pyproject.toml|requirements.txt,from arq,
rq,RQ,background_jobs,python-rq|rq,PyPI,high,pyproject.toml|requirements.txt,from rq,
gunicorn,Gunicorn,application_server,gunicorn,PyPI,high,pyproject.toml|requirements.txt|Dockerfile,gunicorn,
uvicorn,Uvicorn,application_server,uvicorn,PyPI,high,pyproject.toml|requirements.txt|Dockerfile,uvicorn,
spring-boot,Spring Boot,backend_framework,spring-boot|springboot,Maven/Gradle,high,pom.xml|build.gradle*,org.springframework.boot,
spring-framework,Spring Framework,backend_framework,spring,Maven/Gradle,high,pom.xml|build.gradle*,org.springframework.,
spring-webflux,Spring WebFlux,backend_framework,webflux|spring-webflux,Maven/Gradle,high,pom.xml|build.gradle*,spring-webflux|reactor.core,
quarkus,Quarkus,backend_framework,quarkus,Maven/Gradle,high,pom.xml|build.gradle*,io.quarkus,
micronaut,Micronaut,backend_framework,micronaut,Maven/Gradle,high,pom.xml|build.gradle*,io.micronaut,
jakarta-ee,Jakarta EE,backend_framework,jakarta ee|java ee|j2ee,Maven/Gradle,high,pom.xml|build.gradle*,jakarta.,
hibernate,Hibernate,orm,hibernate orm|hibernate,Maven/Gradle,high,pom.xml|build.gradle*,org.hibernate,
mybatis,MyBatis,orm,mybatis,Maven/Gradle,high,pom.xml|build.gradle*,org.apache.ibatis,
asp-net-core,ASP.NET Core,backend_framework,asp.net|aspnetcore|asp.net core,NuGet,high,*.csproj,Microsoft.AspNetCore,
entity-framework-core,Entity Framework Core,orm,ef core|entityframeworkcore|entity framework core,NuGet,high,*.csproj,Microsoft.EntityFrameworkCore,
dapper,Dapper,orm,dapper,NuGet,high,*.csproj,using Dapper,
nestjs,NestJS,backend_framework,nestjs|nest.js|@nestjs,npm,high,package.json,@nestjs/,
express,Express,backend_framework,expressjs|express.js|express,npm,high,package.json,from 'express'|require('express,
fastify,Fastify,backend_framework,fastify,npm,high,package.json,from 'fastify',
koa,Koa,backend_framework,koa.js|koa,npm,high,package.json,from 'koa',
hapi,Hapi,backend_framework,hapi.js|@hapi/hapi,npm,high,package.json,@hapi/hapi,
laravel,Laravel,backend_framework,laravel,Composer,high,composer.json,Illuminate\,
symfony,Symfony,backend_framework,symfony,Composer,high,composer.json,Symfony\,
ruby-on-rails,Ruby on Rails,backend_framework,rails|rubyonrails,RubyGems,high,Gemfile|config/routes.rb,Rails.,
phoenix,Phoenix,backend_framework,phoenix framework|phoenix,Hex,high,mix.exs,Phoenix.,
gin,Gin,backend_framework,gin-gonic|gin,Go,high,go.mod,github.com/gin-gonic/gin,
echo,Echo,backend_framework,labstack echo|echo,Go,high,go.mod,github.com/labstack/echo,
fiber,Fiber,backend_framework,gofiber|fiber,Go,high,go.mod,github.com/gofiber/fiber,
axum,Axum,backend_framework,axum,Cargo,high,Cargo.toml,axum::,
actix-web,Actix Web,backend_framework,actix|actix-web,Cargo,high,Cargo.toml,actix_web,
postgresql,PostgreSQL,database,postgres|postgresql,SQL,high,docker-compose.yml|compose.yml|*.sql,postgresql://|psycopg|asyncpg|Npgsql,
mysql,MySQL,database,mysql,SQL,high,docker-compose.yml|compose.yml|*.sql,mysql://|mysql2|pymysql,
mariadb,MariaDB,database,mariadb,SQL,high,docker-compose.yml|compose.yml,mariadb,
oracle-database,Oracle Database,database,oracle|oracle db|oracledb,SQL,high,*.sql|pom.xml|*.csproj|requirements.txt,jdbc:oracle|Oracle.ManagedDataAccess|oracledb,
microsoft-sql-server,Microsoft SQL Server,database,sql server|mssql|ms sql,SQL,high,docker-compose.yml|*.sql,jdbc:sqlserver|Microsoft.Data.SqlClient|mssql,
sqlite,SQLite,database,sqlite|sqlite3,SQL,high,*.sqlite|*.db|package.json|requirements.txt,sqlite://|sqlite3,
cockroachdb,CockroachDB,database,cockroach|cockroachdb,SQL,high,docker-compose.yml|*.yaml,cockroachdb|cockroach sql,
yugabytedb,YugabyteDB,database,yugabyte|yugabytedb,SQL,high,docker-compose.yml|*.yaml,yugabyte,
clickhouse,ClickHouse,database,clickhouse,OLAP,high,docker-compose.yml|*.sql,clickhouse,
greenplum,Greenplum,database,greenplum,OLAP,medium,*.sql|*.yaml,greenplum,
snowflake,Snowflake,data_warehouse,snowflake,Cloud,high,*.sql|requirements.txt|pyproject.toml,snowflake.connector,
bigquery,BigQuery,data_warehouse,google bigquery|bigquery,GCP,high,requirements.txt|package.json,google.cloud.bigquery|@google-cloud/bigquery,
amazon-redshift,Amazon Redshift,data_warehouse,redshift|aws redshift,AWS,high,*.sql|requirements.txt,redshift,
mongodb,MongoDB,database,mongo|mongodb,Document,high,package.json|requirements.txt|docker-compose.yml,mongodb://|mongoose|pymongo,
couchbase,Couchbase,database,couchbase,Document,high,package.json|requirements.txt,couchbase,
cassandra,Cassandra,database,apache cassandra|cassandra,Wide-column,high,pom.xml|requirements.txt|docker-compose.yml,cassandra,
scylladb,ScyllaDB,database,scylla|scylladb,Wide-column,high,docker-compose.yml,scylla,
neo4j,Neo4j,database,neo4j,Graph,high,package.json|requirements.txt|docker-compose.yml,neo4j://|org.neo4j,
redis,Redis,cache_database,redis,Key-value,high,docker-compose.yml|package.json|requirements.txt,redis://|ioredis|redis-py,
valkey,Valkey,cache_database,valkey,Key-value,high,docker-compose.yml|*.yaml,valkey,
memcached,Memcached,cache,memcache|memcached,Key-value,high,docker-compose.yml|requirements.txt,memcached,
elasticsearch,Elasticsearch,search_engine,elastic|elasticsearch,Elastic,high,docker-compose.yml|package.json|requirements.txt,elasticsearch,
opensearch,OpenSearch,search_engine,opensearch,OpenSearch,high,docker-compose.yml|package.json|requirements.txt,opensearch,
apache-solr,Apache Solr,search_engine,solr,Java,high,docker-compose.yml|pom.xml,solr,
minio,MinIO,object_storage,minio,S3,high,docker-compose.yml|*.yaml,minio,
amazon-s3,Amazon S3,object_storage,s3|aws s3,AWS,medium,*.tf|package.json|requirements.txt,boto3.*s3|@aws-sdk/client-s3,
apache-kafka,Apache Kafka,streaming,kafka,Kafka,high,pom.xml|build.gradle*|package.json|requirements.txt|docker-compose.yml,kafka|confluent,
rabbitmq,RabbitMQ,message_broker,rabbit|rabbitmq|amqp,AMQP,high,docker-compose.yml|requirements.txt|package.json,amqp://|pika|RabbitMQ.Client,
nats,NATS,message_broker,nats.io|nats,NATS,high,docker-compose.yml|go.mod|package.json,nats://|nats.,
apache-pulsar,Apache Pulsar,streaming,pulsar,Pulsar,high,pom.xml|requirements.txt|docker-compose.yml,pulsar,
activemq,ActiveMQ,message_broker,activemq|apache activemq,JMS,high,pom.xml|docker-compose.yml,activemq,
ibm-mq,IBM MQ,message_broker,ibm mq|ibmmq|websphere mq,IBM,high,pom.xml|*.yaml,com.ibm.mq,
azure-service-bus,Azure Service Bus,message_broker,service bus|azure service bus,Azure,high,*.csproj|package.json|requirements.txt,Azure.Messaging.ServiceBus|@azure/service-bus,
aws-sqs,AWS SQS,message_broker,sqs|amazon sqs,AWS,high,*.tf|package.json|requirements.txt,boto3.*sqs|@aws-sdk/client-sqs,
apache-camel,Apache Camel,integration_framework,camel|apache camel,JVM,high,pom.xml|build.gradle*,org.apache.camel,
debezium,Debezium,cdc,debezium,Kafka,high,docker-compose.yml|*.json|*.yaml,debezium,
rest,REST,api_style,rest|restful,HTTP,low,openapi.*|swagger.*,GET |POST |PUT |DELETE ,
openapi,OpenAPI,api_spec,swagger|openapi,HTTP,high,openapi.yaml|openapi.yml|openapi.json|swagger.yaml|swagger.json,openapi:|swagger:,
graphql,GraphQL,api_protocol,graphql,GraphQL,high,schema.graphql|*.graphql|package.json,graphql,
grpc,gRPC,rpc,grpc,Protobuf,high,*.proto|pom.xml|go.mod|package.json|*.csproj,grpc,
protocol-buffers,Protocol Buffers,serialization,protobuf|proto3|proto2,Protobuf,high,*.proto,"syntax = ""proto",
apache-avro,Apache Avro,serialization,avro,Kafka,high,*.avsc|pom.xml|package.json,avro,
json-schema,JSON Schema,schema,jsonschema|json schema,JSON,high,*.schema.json|package.json|requirements.txt,$schema,
websocket,WebSocket,realtime_protocol,websocket|websockets|ws,Web,medium,package.json|requirements.txt,WebSocket|websocket,
server-sent-events,Server-Sent Events,realtime_protocol,sse|eventsource|server sent events,Web,medium,package.json|requirements.txt,EventSource|text/event-stream,
oauth-2-0,OAuth 2.0,auth_protocol,oauth2|oauth 2|oauth,Security,medium,*.yaml|*.json|package.json|requirements.txt,oauth2,
openid-connect,OpenID Connect,auth_protocol,oidc|openid connect,Security,medium,*.yaml|*.json|package.json|requirements.txt,openid,
saml-2-0,SAML 2.0,auth_protocol,saml2|saml,Security,medium,*.xml|package.json|requirements.txt,saml,
jwt,JWT,token_format,json web token|jwt,Security,medium,package.json|requirements.txt|pom.xml|*.csproj,jwt|jose,
keycloak,Keycloak,identity_provider,keycloak,Security,high,docker-compose.yml|*.yaml|package.json|pom.xml,keycloak,
hashicorp-vault,HashiCorp Vault,secrets_management,vault|hashicorp vault,HashiCorp,medium,*.tf|*.hcl|*.yaml,vault,
docker,Docker,container,docker,Containers,high,Dockerfile|docker-compose.yml|compose.yml,.dockerignore,
docker-compose,Docker Compose,container_orchestration,docker-compose|compose,Containers,high,docker-compose.yml|docker-compose.yaml|compose.yml|compose.yaml,services:,
podman,Podman,container,podman,Containers,medium,Containerfile|podman-compose.yml,podman,
kubernetes,Kubernetes,orchestration,k8s|kube|kubernetes,Cloud Native,high,deployment.yaml|service.yaml|kustomization.yaml|Chart.yaml,apiVersion:|kind: Deployment,
openshift,OpenShift,orchestration,ocp|openshift,Red Hat,high,*.yaml|*.yml,route.openshift.io|DeploymentConfig,
helm,Helm,package_manager,helm|helm chart,Kubernetes,high,Chart.yaml|values.yaml|templates/*,{{ .Values,
kustomize,Kustomize,configuration_management,kustomize,Kubernetes,high,kustomization.yaml|kustomization.yml,resources:|patches:,
terraform,Terraform,iac,terraform|tf,HashiCorp,high,*.tf|*.tfvars|.terraform.lock.hcl,"resource ""|provider """,
opentofu,OpenTofu,iac,tofu|opentofu,OpenTofu,high,*.tf|*.tfvars|.terraform.lock.hcl,tofu,
ansible,Ansible,configuration_management,ansible,Automation,high,ansible.cfg|playbook.yml|roles/*,hosts:|tasks:,
pulumi,Pulumi,iac,pulumi,Cloud,high,Pulumi.yaml|Pulumi.*.yaml|package.json|requirements.txt,pulumi,
packer,Packer,image_build,hashicorp packer|packer,HashiCorp,high,*.pkr.hcl|*.pkr.json,packer,
vagrant,Vagrant,environment_management,vagrant,HashiCorp,high,Vagrantfile,Vagrant.configure,
git,Git,version_control,git,SCM,high,.gitignore|.gitattributes|.gitmodules,,
gitlab-ci-cd,GitLab CI/CD,ci_cd,gitlab ci|gitlab-ci,GitLab,high,.gitlab-ci.yml,.gitlab-ci,
github-actions,GitHub Actions,ci_cd,github actions|gha,GitHub,high,.github/workflows/*.yml|.github/workflows/*.yaml,uses:,
jenkins,Jenkins,ci_cd,jenkins,Jenkins,high,Jenkinsfile|*.jenkinsfile,pipeline {|stage(,
teamcity,TeamCity,ci_cd,teamcity,JetBrains,medium,.teamcity/*|settings.kts,jetbrains.buildServer,
azure-devops-pipelines,Azure DevOps Pipelines,ci_cd,azure pipelines|azure devops,Azure,high,azure-pipelines.yml|azure-pipelines.yaml,task:,
argo-cd,Argo CD,gitops,argocd|argo cd,Kubernetes,high,*.yaml,argoproj.io|kind: Application,
flux,Flux,gitops,fluxcd|flux cd|flux,Kubernetes,high,*.yaml,fluxcd.io|source.toolkit.fluxcd.io,
sonarqube,SonarQube,code_quality,sonar|sonarqube,Quality,high,sonar-project.properties|pom.xml|build.gradle*,sonar.,
semgrep,Semgrep,static_analysis,semgrep,Security,high,.semgrep.yml|.semgrep.yaml|*.yml,semgrep,
snyk,Snyk,security_scanner,snyk,Security,high,.snyk|package.json|*.yml,snyk,
trivy,Trivy,security_scanner,trivy,Security,high,*.yml|*.yaml|Dockerfile,trivy,
dependabot,Dependabot,dependency_management,dependabot,GitHub,high,.github/dependabot.yml,.github/dependabot,
renovate,Renovate,dependency_management,renovatebot|renovate,Automation,high,renovate.json|renovate.json5|.renovaterc*,renovate,
prometheus,Prometheus,metrics,prometheus,CNCF,high,prometheus.yml|*.yaml|pom.xml|package.json|requirements.txt,prometheus,
grafana,Grafana,visualization,grafana,Observability,high,grafana.ini|provisioning/*|docker-compose.yml,grafana,
opentelemetry,OpenTelemetry,observability,otel|open telemetry|opentelemetry,CNCF,high,package.json|requirements.txt|pom.xml|*.csproj,opentelemetry|OpenTelemetry,
jaeger,Jaeger,tracing,jaeger,CNCF,high,docker-compose.yml|*.yaml,jaeger,
zipkin,Zipkin,tracing,zipkin,Tracing,high,docker-compose.yml|pom.xml,zipkin,
loki,Loki,logging,grafana loki|loki,Grafana,high,loki-config.*|*.yaml,loki,
fluent-bit,Fluent Bit,logging,fluent-bit|fluentbit,CNCF,high,fluent-bit.conf|*.yaml,fluent-bit,
fluentd,Fluentd,logging,fluentd,CNCF,high,fluent.conf|*.yaml,fluentd,
logstash,Logstash,logging,logstash,Elastic,high,logstash.conf|*.conf|docker-compose.yml,logstash,
kibana,Kibana,visualization,kibana,Elastic,high,kibana.yml|docker-compose.yml,kibana,
sentry,Sentry,error_tracking,sentry,Observability,high,package.json|requirements.txt|pom.xml|*.csproj,sentry,
datadog,Datadog,observability,data dog|datadog,Observability,medium,*.yaml|package.json|requirements.txt,datadog,
pytest,pytest,testing,py.test|pytest,Python,high,pyproject.toml|pytest.ini|conftest.py,pytest,
unittest,unittest,testing,python unittest,Python,medium,*.py,import unittest|from unittest,
junit,JUnit,testing,junit|junit5,JVM,high,pom.xml|build.gradle*,org.junit,
testng,TestNG,testing,testng,JVM,high,pom.xml|build.gradle*,org.testng,
mockito,Mockito,testing,mockito,JVM,high,pom.xml|build.gradle*,org.mockito,
xunit-net,xUnit.net,testing,xunit|xunit.net,Dotnet,high,*.csproj,Xunit,
nunit,NUnit,testing,nunit,Dotnet,high,*.csproj,NUnit,
jest,Jest,testing,jestjs|jest,npm,high,package.json|jest.config.*,jest,
vitest,Vitest,testing,vitest,npm,high,package.json|vitest.config.*,vitest,
mocha,Mocha,testing,mochajs|mocha,npm,high,package.json|.mocharc*,mocha,
cypress,Cypress,e2e_testing,cypress,npm,high,cypress.config.*|package.json,cypress,
playwright,Playwright,e2e_testing,playwright,npm/PyPI/Dotnet,high,playwright.config.*|package.json|requirements.txt|*.csproj,playwright,
selenium,Selenium,e2e_testing,selenium webdriver|selenium,Multi,high,package.json|requirements.txt|pom.xml|*.csproj,selenium,
pact,Pact,contract_testing,pact|pact.io,Multi,high,package.json|pom.xml|requirements.txt|*.csproj,pact,
testcontainers,Testcontainers,testing_infrastructure,testcontainers,Multi,high,pom.xml|build.gradle*|package.json|requirements.txt|*.csproj,testcontainers,
k6,k6,load_testing,grafana k6|k6,JavaScript,high,*.js|*.ts|Dockerfile,from 'k6'|k6/http,
jmeter,JMeter,load_testing,apache jmeter|jmeter,Java,high,*.jmx|pom.xml,jmeter,
gatling,Gatling,load_testing,gatling,JVM,high,pom.xml|build.gradle*|*.scala,io.gatling,
npm,npm,package_manager,node package manager|npm,Node.js,high,package-lock.json|package.json,,
yarn,Yarn,package_manager,yarnpkg|yarn,Node.js,high,yarn.lock|package.json,,
pnpm,pnpm,package_manager,pnpm,Node.js,high,pnpm-lock.yaml|pnpm-workspace.yaml,,
bun,Bun,runtime_package_manager,bun.sh|bun,JavaScript,high,bun.lock|bun.lockb|package.json,,
maven,Maven,build_tool,apache maven|mvn,JVM,high,pom.xml|.mvn/*,,
gradle,Gradle,build_tool,gradle,JVM,high,build.gradle|build.gradle.kts|gradle.properties,,
sbt,sbt,build_tool,scala build tool|sbt,Scala,high,build.sbt|project/build.properties,,
nuget,NuGet,package_manager,nuget,Dotnet,high,packages.lock.json|nuget.config|*.csproj,PackageReference,
composer,Composer,package_manager,php composer|composer,PHP,high,composer.json|composer.lock,,
poetry,Poetry,package_manager,python poetry|poetry,Python,high,poetry.lock|pyproject.toml,[tool.poetry],
uv,uv,package_manager,astral uv|uv package manager,Python,high,uv.lock|pyproject.toml,,
pip,pip,package_manager,pip,Python,medium,requirements.txt|requirements/*.txt,,
cargo,Cargo,package_manager,rust cargo|cargo,Rust,high,Cargo.toml|Cargo.lock,,
go-modules,Go Modules,package_manager,gomod|go modules,Go,high,go.mod|go.sum,,
cmake,CMake,build_tool,cmake,Native,high,CMakeLists.txt|*.cmake,cmake_minimum_required,
ninja,Ninja,build_tool,ninja build|ninja,Native,medium,build.ninja,,
make,Make,build_tool,makefile|gnu make,Native,medium,Makefile|*.mk,,
vite,Vite,build_tool,vitejs|vite,Node.js,high,vite.config.*|package.json,from 'vite',
webpack,Webpack,build_tool,webpack,Node.js,high,webpack.config.*|package.json,webpack,
rollup,Rollup,build_tool,rollupjs|rollup,Node.js,high,rollup.config.*|package.json,rollup,
esbuild,esbuild,build_tool,esbuild,Node.js,high,package.json|*.js|*.ts,esbuild,
nginx,NGINX,web_server,nginx,Web,high,nginx.conf|*.nginx|Dockerfile,server {|location ,
apache-http-server,Apache HTTP Server,web_server,httpd|apache2|apache httpd,Web,high,httpd.conf|apache2.conf|*.conf,,
haproxy,HAProxy,proxy,haproxy,Web,high,haproxy.cfg,frontend |backend ,
traefik,Traefik,proxy_gateway,traefik,Cloud Native,high,traefik.yml|traefik.yaml|docker-compose.yml,traefik.,
kong,Kong,api_gateway,kong gateway|kong,API,high,kong.yml|kong.yaml|docker-compose.yml,kong,
apache-apisix,Apache APISIX,api_gateway,apisix,API,high,config.yaml|docker-compose.yml,apisix,
envoy,Envoy,proxy,envoy proxy|envoy,Cloud Native,high,envoy.yaml|envoy.yml,static_resources:,
apache-spark,Apache Spark,data_processing,spark|pyspark,Big Data,high,pom.xml|build.gradle*|requirements.txt,org.apache.spark|pyspark,
apache-flink,Apache Flink,data_processing,flink,Big Data,high,pom.xml|build.gradle*,org.apache.flink,
apache-beam,Apache Beam,data_processing,beam|apache beam,Data,high,pom.xml|requirements.txt,apache_beam|org.apache.beam,
airflow,Airflow,workflow_orchestration,apache airflow|airflow,Python,high,requirements.txt|pyproject.toml|dags/*,airflow,
dagster,Dagster,workflow_orchestration,dagster,Python,high,pyproject.toml|requirements.txt,dagster,
prefect,Prefect,workflow_orchestration,prefect,Python,high,pyproject.toml|requirements.txt,prefect,
dbt,dbt,data_transformation,dbt core|dbt,Data,high,dbt_project.yml|packages.yml|profiles.yml,ref(,
pandas,Pandas,data_library,pandas,Python,high,pyproject.toml|requirements.txt,import pandas,
polars,Polars,data_library,polars,Python/Rust,high,pyproject.toml|requirements.txt|Cargo.toml,import polars|polars::,
numpy,NumPy,data_library,numpy,Python,high,pyproject.toml|requirements.txt,import numpy,
scipy,SciPy,data_library,scipy,Python,high,pyproject.toml|requirements.txt,import scipy,
scikit-learn,scikit-learn,ml_framework,sklearn|scikit learn,Python,high,pyproject.toml|requirements.txt,sklearn,
pytorch,PyTorch,ml_framework,torch|pytorch,Python,high,pyproject.toml|requirements.txt,import torch,
tensorflow,TensorFlow,ml_framework,tensorflow|tf,Python,high,pyproject.toml|requirements.txt,import tensorflow,
keras,Keras,ml_framework,keras,Python,high,pyproject.toml|requirements.txt,import keras|from keras,
xgboost,XGBoost,ml_framework,xgboost,Multi,high,pyproject.toml|requirements.txt|pom.xml,xgboost,
lightgbm,LightGBM,ml_framework,lightgbm,Multi,high,pyproject.toml|requirements.txt,lightgbm,
hugging-face-transformers,Hugging Face Transformers,ai_framework,transformers|huggingface|hugging face,Python,high,pyproject.toml|requirements.txt,from transformers,
langchain,LangChain,ai_framework,langchain,Python/Node.js,high,pyproject.toml|requirements.txt|package.json,langchain,
llamaindex,LlamaIndex,ai_framework,llama-index|llamaindex,Python/Node.js,high,pyproject.toml|requirements.txt|package.json,llama_index,
openai-sdk,OpenAI SDK,ai_sdk,openai python|openai sdk|openai,Multi,high,pyproject.toml|requirements.txt|package.json,from openai|openai.,
onnx,ONNX,ml_format,onnx,ML,high,*.onnx|requirements.txt|pyproject.toml,onnx,
mlflow,MLflow,mlops,mlflow,Python,high,requirements.txt|pyproject.toml,mlflow,
kubeflow,Kubeflow,mlops,kubeflow,Kubernetes,medium,*.yaml|*.yml,kubeflow.org,
markdown,Markdown,documentation,md|markdown,Docs,medium,*.md|*.markdown,,
asciidoc,AsciiDoc,documentation,asciidoc|adoc,Docs,high,*.adoc|*.asciidoc,,
antora,Antora,documentation_platform,antora,Node.js,high,antora-playbook.yml|antora.yml|package.json,@antora/,
sphinx,Sphinx,documentation_platform,python sphinx|sphinx,Python,high,conf.py|requirements.txt|pyproject.toml,sphinx,
mkdocs,MkDocs,documentation_platform,mkdocs,Python,high,mkdocs.yml|requirements.txt|pyproject.toml,mkdocs,
docusaurus,Docusaurus,documentation_platform,docusaurus,Node.js,high,docusaurus.config.*|package.json,@docusaurus/,
plantuml,PlantUML,diagramming,plantuml|plant uml,JVM,high,*.puml|*.plantuml|*.iuml,@startuml,
mermaid,Mermaid,diagramming,mermaid.js|mermaid,Web,high,*.mmd|*.mermaid|package.json,```mermaid|mermaid,
structurizr-dsl,Structurizr DSL,architecture_diagramming,structurizr|c4 dsl|structurizr dsl,C4,high,*.dsl,workspace {|model {,
c4-model,C4 Model,architecture_model,c4|c4 model,Architecture,low,*.dsl|*.puml,C4Context|C4Container|C4Component,
